Date,Open,High,Low,Close,Adj Close,Volume,monthly returns,mr%,,,
01-01-2004,1111.920044,1155.380005,1105.079956,1131.130005,1131.130005,32820000000,19.209961,1.698298243,,,1.066348789
01-02-2004,1131.130005,1158.97998,1124.439941,1144.939941,1144.939941,27985600000,13.809936,1.206171215,,,1.072049616
01-03-2004,1144.939941,1163.22998,1087.160034,1126.209961,1126.209961,33597900000,-18.72998,-1.663098414,,,1.093964957
01-04-2004,1126.209961,1150.569946,1107.22998,1107.300049,1107.300049,31611900000,-18.909912,-1.707749586,,,1.097404454
01-05-2004,1107.300049,1127.73999,1076.319946,1120.680054,1120.680054,29326400000,13.380005,1.193918367,,,1.119545716
01-06-2004,1120.680054,1146.339966,1113.319946,1140.839966,1140.839966,27529500000,20.159912,1.767111304,,,1.164312158
01-07-2004,1140.839966,1140.839966,1078.780029,1101.719971,1101.719971,29285600000,-39.119995,-3.550811098,,,1.169582586
01-08-2004,1101.719971,1109.680054,1060.719971,1104.23999,1104.23999,26586800000,2.520019,0.228212981,,,1.193918367
01-09-2004,1104.23999,1131.540039,1099.180054,1114.579956,1114.579956,26829870000,10.339966,0.927700695,,,1.197964237
01-10-2004,1114.579956,1142.050049,1090.290039,1130.199951,1130.199951,31511000000,15.619995,1.382055891,,,1.198854797
01-11-2004,1130.199951,1188.459961,1127.599976,1173.819946,1173.819946,30460280000,43.619995,3.716072056,,,1.206171215
01-12-2004,1173.780029,1217.329956,1173.780029,1211.920044,1211.920044,31102500000,38.140015,3.147073537,,,1.224533625
01-01-2005,1211.920044,1217.800049,1163.75,1181.27002,1181.27002,31498800000,-30.650024,-2.594667052,,,1.231765701
01-02-2005,1181.27002,1212.439941,1180.949951,1203.599976,1203.599976,29297410000,22.329956,1.855263912,,,1.245454991
01-03-2005,1203.599976,1229.109985,1163.689941,1180.589966,1180.589966,39014150000,-23.01001,-1.94902639,,,1.245860776
01-04-2005,1180.589966,1191.880005,1136.150024,1156.849976,1156.849976,43424270000,-23.73999,-2.052123481,,,1.276123727
01-05-2005,1156.849976,1199.560059,1146.180054,1191.5,1191.5,39321990000,34.650024,2.908101049,,,1.276458236
01-06-2005,1191.5,1219.589966,1188.300049,1191.329956,1191.329956,40334040000,-0.170044,-0.01427346,,,1.302780151
01-07-2005,1191.329956,1245.150024,1183.550049,1234.180054,1234.180054,37464670000,42.850098,3.471948672,,,1.325341001
01-08-2005,1234.180054,1245.859985,1201.069946,1220.329956,1220.329956,42030090000,-13.850098,-1.134946982,,,1.382055891
01-09-2005,1220.329956,1243.130005,1205.349976,1228.810059,1228.810059,44777510000,8.480103,0.6901069,,,1.405186974
01-10-2005,1228.810059,1233.339966,1168.199951,1207.01001,1207.01001,49793790000,-21.800049,-1.806119984,,,1.420159264
01-11-2005,1207.01001,1270.640015,1201.069946,1249.47998,1249.47998,45102870000,42.46997,3.399011643,,,1.425729384
01-12-2005,1249.47998,1275.800049,1246.589966,1248.290039,1248.290039,41756130000,-1.189941,-0.095325683,,,1.453677818
01-01-2006,1248.290039,1294.900024,1245.73999,1280.079956,1280.079956,49211650000,31.789917,2.483432136,,,1.454705453
01-02-2006,1280.079956,1297.569946,1253.609985,1280.660034,1280.660034,42859940000,0.580078,0.045295237,,,1.527962674
01-03-2006,1280.660034,1310.880005,1268.420044,1294.869995,1294.869995,50905040000,14.209961,1.097404454,,,1.543015293
01-04-2006,1302.880005,1318.160034,1280.73999,1310.609985,1310.609985,43308430000,7.72998,0.589800176,,,1.548794772
01-05-2006,1310.609985,1326.699951,1245.339966,1270.089966,1270.089966,54312830000,-40.520019,-3.190326676,,,1.575118618
01-06-2006,1270.050049,1290.680054,1219.290039,1270.199951,1270.199951,54873260000,0.149902,0.011801449,,,1.596469594
01-07-2006,1270.060059,1280.420044,1224.540039,1276.660034,1276.660034,46348220000,6.599975,0.516972007,,,1.613625328
01-08-2006,1278.530029,1306.73999,1261.300049,1303.819946,1303.819946,50485620000,25.289917,1.93967864,,,1.620815389
01-09-2006,1303.800049,1340.280029,1290.930054,1335.849976,1335.849976,49001440000,32.049927,2.399216048,,,1.627216152
